show_id,name_th,name_en,show_type_name,start_date,end_date,year,duration,summary
20240700005,เพื่อนเลิกกับผัว หัวจะปวด!!,,ละครพูด,2024-07-11,2024-07-18,2024.0,,"Part Time Theatre เสนอละครเวทีเรื่อง
“เพื่อนเลิกกับผัว หัวจะปวด!!”

เรื่องย่อ

เมื่อปาร์ตี้คืนวันศุกร์ไม่สนุกเหมือนเคย เพราะเพื่อนคนหนึ่งดันหายตัวไปไหนก็ไม่รู้ สาเหตุสุดหัวจะปวดคือมันเลิกกับผัวที่คบกันมาสิบกว่าปี! จะทิ้งให้เพื่อนนอนดราม่าอยู่ข้างถนนก็ใช่เรื่อง “ต้อง” ชายแท้หนึ่งเดียวในกลุ่ม จึงตัดสินใจรับ “อาตัน” เพื่อนเกย์ที่นิสัยต่างกันสุดขั้วมาอยู่ด้วยกันที่คอนโด โดยที่เขาไม่ฉุกใจคิดเลยสักนิดว่าความวุ่นวายหายนะกำลังวิ่งตามมาเป็นเงา

แรงบันดาลใจจากบทละครคอเมดี้สุดอมตะของนีล ไซม่อน “The Odd Couple” นำเสนอผ่านบริบทเชียงใหม่ยุคปัจจุบัน แปล/ดัดแปลง/กำกับการแสดงโดย วสันต์ มหาเกียรติคุณ นำแสดงโดย ษมาพงศ์ เครืออยู่, อาตัน อาแว, จักรกฤษณ์ คำหล้า, ฌานล สมสุพรรณ, นาทาชา พลอยไพลิน นุท, ฉัตรชัย สุขอนันต์, อัญชภัฏ ศรลัมพ์, และ ศุภชัย สุขเสวี

บัตรราคา 300.- บาท

(🐦โปรโมชั่น Early Bird!! จองบัตรตั้งแต่วันนี้ - 23 มิถุนายน 2567 ราคาพิเศษจาก 300 บาท เหลือเพียง 200 บาท เท่านั้น!!🎟️)
จัดแสดงที่ Dhepsiri Creative Space
ระหว่างวันที่ 11-18 กรกฎาคม 2567
เวลา 19.30 น. (จำนวน 8 รอบการแสดง)
จำหน่ายบัตรผ่านลิงก์ : https://forms.gle/6WN1GKCBsEh1d8GD9
ติดตามข้อมูลเพิ่มเติมและโปรโมชั่นต่างๆได้ทาง facebook : Part Time Theatre

*หมายเหตุ ละครมี Surtitles ภาษาอังกฤษ
**หมายเหตุ ละครเรื่องนี้มีคำพูด ภาพ เสียง และเนื้อหาที่ต้องใช้วิจารณญาณในการรับชม ผู้มีอายุต่ำกว่า 18 ปี ควรได้รับคำแนะนำ

#เพื่อนเลิกกับผัวหัวจะปวด #PartTimeTheatre

+-----------------------------------+

Part Time Theatre presents a play
""Goodbye, Hubby: The Headache Chronicles!!""

Synopsis

Friday night loses its usual charm when a friend mysteriously disappears, revealing a shocking breakup with his husband of over a decade. Determined not to leave their friend in the lurch, ""Tong,"" the lone straight member of the group, offers his place for ""Artun,"" their gay friend with a vastly different personality, to stay. Little did Tong know, chaos and calamity would become unwelcome roommates.

Set in contemporary Chiang Mai and inspired by Neil Simon's classic comedy “The Odd Couple,” the play promises to take audiences on a hilarious journey. Adapted and directed by Vasan Mahakiattikun, the play stars Samapong Krueayu, Artun Arwae, Jukkrit Khamla, Chanol Somsupan, Natasha Proipylin Nutt, Chatchai Sukanan, Anchapat Soralum, and Suppachai Sooksaewee.

Ticket price: 300 Baht
(🐦 Don't miss out on our Early Bird promotion!! Reserve your tickets starting today until June 23, 2024. Enjoy a special discounted price, from 300 Baht down to only 200 Baht!! 🎟️)
Venue: Dhepsiri Creative Space
Dates: July 11th to July 18th, 2024
Time: 7:30 p.m. (8 showings)
Tickets available via the following link: https://forms.gle/6WN1GKCBsEh1d8GD9
Stay updated on additional information and promotions by following us on Facebook: Part Time Theatre

*Note: The play will have English subtitles.
**Note: This production contains language, imagery, audio, and content that require careful consideration. Individuals under 18 years of age should seek guidance before attending."
20240500004,โรงเรียนนี้มีแต่สีสัน,Whiteria Academy,ละครพูด,2024-05-11,2024-05-12,2024.0,,"ขณะนี้ Whiteria Academy ของเราได้เปิดภาคการศึกษาให้ทุกท่านได้สำรองที่นั่งแล้ว ทุกท่านสามารถเลือกสำรองที่นั่งได้ทั้งหมดสองราคาดังนี้
บุคคลทั่วไป 250 บาท
นักเรียน/นักศึกษา 150 บาท (สิทธิ์มีจำนวนจำกัด)
โดยสามารถสำรองที่นั่งได้ผ่านทาง Line Official @whiteria.project

ทางเราหวังเป็นอย่างยิ่ง ว่าจะได้พบทุกท่านในวันเปิดภาคการศึกษาของโรงเรียน
แล้วพบกันวันที่ 11-12 พฤษภาคม ที่ ห้องประชุม ดร.เทียม โชควัฒนา คณะนิเทศศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย✨

📌ติดตามรายละเอียดเพิ่มเติมได้ที่
Line Official: @whiteria.project
Instagram: Whiteria.project
Facebook: Performing Arts Nitade Chula"
20240300032,จดหมายมัจจุราช,,ละครพูด,2024-03-15,2024-03-17,2024.0,,"ขอชวนเชิญรับชม “จดหมายมัจจุราช” ละครศิลปนิพนธ์ สาขาศิลปะและธุรกิจการแสดง คณะมนุษยศาสตร์ มหาวิทยาลัยหอการค้าไทย
จัดแสดง ในวันศุกร์ที่ 15 - 17 มีนาคม 2567 เวลา 18:00 น.
ณ UTCC PA STUDIO อาคาร 7 ชั้น 11
มหาวิทยาหอการค้าไทย แขวง รัชดาภิเษก เขตดินแดง กรุงเทพมหานคร 10400"
20240200009,The Prom,,มิวสิคัล,2024-02-15,2024-02-18,2024.0,,"สาขาขับร้องละครเพลง วิทยาลัยดุริยางคศิลป์ มหาวิทยาลัยมหิดล ภูมิใจนําเสนอ โปรดักชั่นประจำปีการศึกษา 2023
เรื่อง “The Prom”
 
“The Prom” บทประพันธ์โดย Bob Martin และ Chad Beguelin
ดนตรีประพันธ์ โดย Matthew Sklar เนื้อร้องโดย Chad Beguelin
ซึ่งอิงมาจากแนวคิดดั้งเดิมของ Jack Viertel
 
“The Prom” เป็นเรื่องราวของ นักแสดงละครเพลงบรอดเวย์รุ่นใหญ่ 4 คน ที่เจอปัญหา ช่วงวิกฤติวัยกลางคน งานใหม่ก็เจ๊งไม่เป็นท่า พวกเขาคิดจะกอบกู้สถานการณ์และทำตัวให้ได้รับความสนใจจากสื่ออีกครั้งโดยให้ความช่วยเหลือแก่เด็กสาววัยมัธยม ชื่อ เอ็มม่า โนแลน แห่งเมืองเอดจ์วอเตอร์ รัฐอินเดียนา ที่ถูกสมาคมผู้กครอง-ครู ที่ “ต่อต้าน คนรักเพศเดียวกัน” กีดกัน โดยสั่งยกเลิกงานพร็อม เพียงเพื่อที่จะไม่ให้เธอพาแฟนสาว ไปร่วมงาน เหล่านักแสดงบรอดเวย์ทั้ง 4คน พยายามเปลี่ยนความคิดล้าสมัยของผู้คนเพื่อที่จะได้ จัดงานพร็อมที่เอ็มม่าสมควรจะได้รับ แต่จะประสบความสำเร็จหรือจะทำให้เรื่องราว ยุ่งเหยิงมากขึ้นไปอีก ก็เชิญมาติดตามชมกันได้
 
“The Prom” เหมาะสำหรับผู้ชมทุกเพศ ทุกวัย ด้วยเนื้อหาที่ทันสมัยครบทุกรส ทั้งตลก ดราม่า เสียดสีสังคมและให้แรงบันดาลใจให้ทุกคนกล้าที่จะเป็นตัวของตัวเองทำให้ ละครเพลงเรื่องนี้ได้รับรางวัล Outstanding Musical จาก Drama Desk Award แล้ว ยังถูกนำมาสร้างเป็นภาพยนตร์เพลงทาง Netflix โดยผู้กำกับฝีมือดีอย่าง Ryan Murphy
 
“The Prom” มีบทเพลงไพเราะที่หลายๆคนอาจจะรู้จัก เช่น
“Unruly Heart”, “Dance with you”, “It’s time to dance” และอีกมากมาย
 
ละครเพลงเรื่องนี้จะจัดแสดงเป็นภาษาอังกฤษ พร้อมกับ Subtitle ภาษาไทย และบรรเลงดนตรีด้วยวงดนตรีสดทุกรอบการแสดง
 
กํากับการแสดง โดย ช่อลดา สุริยะโยธิน 
กํากับดนตรีและควบคุมวง โดย ปิญชาน์นันท์ ใจประสงค์ 
ออกแบบท่าเต้น โดย กรชณก ชายะพงศ์ และ อัศกร ศิริสุจริตธรรม"
20240200012,กุหลาบกาลี,The Poison Love,ละครพูด,2024-02-25,2024-02-26,2024.0,,"ละครเวทีคณะศึกษาศาสตร์ครั้งที่ 2
”The Poison Love : กุหลาบกาลี“ 🥀

💵บัตร : 99 บาท ทุกที่นั่ง
🎞️ เปิดแสดง 4 รอบ 🎞️

มาร่วมสัมผัสกับความหลอน
ภายใต้ความเย้ายวนของ กุหลาบงาม
ที่แฝงไปด้วย พิษร้าย ของ แรงรัก
ณ โรงละครเฉลิมพระเกียรติฯ ม.นเรศวร
__________________________________
คำสาปแช่งก่อนตายในคืนวิวาห์
ของเจ้าสาวปริศนาเมื่อ 27 ปีก่อน
สร้างความสะพรึงให้ผู้คนใน “เรือนกุหลาบ”
ต้องประสบพบเจอกับความวิบัติชั่วลูกชั่วหลาน
แรงแค้นจากคำสาปแช่งได้แปรเปลี่ยนกุหลาบงาม
ให้อาบย้อมไปด้วยพิษร้าย
ที่หมายคร่าชีวิตสายเลือดที่เกลียดชัง

และเมื่อกงล้อแห่งกรรมหมุนเวียนกลับมาอีกครา
งานวิวาห์สายเลือดต้องคำสาปกำลังจะเกิดขึ้นอีกครั้ง
เรือนกุหลาบ ที่ภายนอกดูงดงามยิ่งใหญ่
กลับแฝงไปด้วยเงื่อนงำบางอย่างซ่อนอยู่
ความลับที่ถูกปกปิดไว้ ปริศนาที่รอการเปิดเผย
โศกนาฏกรรมจะวนกลับมาซ้ำรอยเดิมอีกหรือไม่
เหตุการณ์จะจบลงเช่นไร ติดตามได้ที่
The Poison Love : กุ ห ล า บ ก า ลี 🥀
__________________________________
📣 ติดตามข้อมูลข่าวสารและสอบถามเพิ่มเติมได้ที่
📧 Facebook : สโมสรนิสิตคณะศึกษาศาสตร์ มหาวิทยาลัยนเรศวร
💌 Instagram : smoedu.nu"
20240300013,โปรดระวังความปรารถนา,As you wish,ละครพูด,2024-03-02,2024-03-03,2024.0,,"""As you wish: โปรดระวังความปรารถนา""

เมื่อความปรารถนา คือ สิ่งที่พรากชีวิตภรรยาผู้เป็นที่รัก ดวงจิตของ ‘บุญเลิศ’ จึงวนเวียนอยู่ใน ‘คลังของอาถรรพ์’ 

...สถานที่เก็บรวบรวมของวิเศษที่สามารถทำให้ความปรารถนาสูงสุดเป็นเรื่องจริง เพื่อเตือนเหล่าผู้มีความทะเยอทะยานถึง ‘สิ่งที่ต้องแลก’ ไม่ว่าจะเป็นเด็กหญิงผู้ปรารถนาความรักจากครอบครัว หญิงชราผู้ไม่ยอมปล่อยวางจากคนรัก และเด็กหนุ่มผู้สูญเสียตัวตนให้กับโรคนอนไม่หลับ 

นำไปสู่เรื่องราวสุขระคนทุกข์ที่จบลงด้วยความซาบซึ้ง ตรึงตรา ไปจนถึง โศกนาฏกรรม...

 และเรื่องราวจะเป็นเช่นไรนั้น ติดตามได้ในละคอนมะนุดครั้งที่ 32

""As you wish: โปรดระวังความปรารถนา""

""ละคอนมะนุด Humdrama"" เป็นละครเวทีจากภาควิชานิเทศศาสตร์และสารสนเทศศาสตร์ คณะมนุษยศาสตร์ มหาวิทยาลัยเกษตรศาสตร์  โดยปีนี้ได้จัดทำเป็นปีที่ 32

สามารถติดตาม ละคอนมะนุด Humdrama ได้ที่

Facebook: ละคอนมะนุด Humdrama
Instagram: Humdrama_KU
TikTok: Humdrama_KU
Youtube: Humdrama_KU
X: @Humdrama_KU"
20240300014,ชันสูตร ON STAGE,,บทพูดเดี่ยว,2024-03-16,2024-03-17,2024.0,180.0,
20240300011,The lesson …บทเรียน?,,ละครพูด,2024-03-22,2024-03-23,2024.0,,"หากระบบการศึกษาเป็นเพียง “สถานที่”
คงไม่ต่างกับ “โรงงาน” ที่กำลังพิมพ์ “ตำรา” ออกมาอีกเล่ม ..

แล้วถ้าเราเปลี่ยนสถานศึกษาล่ะ การศึกษาจะเปลี่ยนไปไหม??

ติดตามได้ใน เทศกาลศิลปะการแสดงนิพนธ์ เรื่อง “The lesson …บทเรียน?”"
20240200022,le désert • les étoiles • le petit prince,,คอนเสิร์ต,2024-02-03,2024-02-04,2024.0,,"le désert • les étoiles • le petit prince

Concert Théâtral

by Princess Galyani Vadhana Institute of Music

In celebration of the Centenary Anniversary of the Birth of Her Royal Highness Princess Galyani Vadhana Krom Luang Naradhiwas Rajanagarindra

“It is only with the heart that one can see rightly; what is essential is invisible to the eye,” is among the quotable excerpts from Little Prince by Antoine de Saint-Exupéry, a story about a boy from another planet who visits Earth. His travels bring him into encounters with different beings and their stories, each of which reveals facts about love, friendship, and the meaning of our existence.

You are invited to rediscover the journey of the “Little Prince” a Concert Theatre performance combining the beautiful music of Claude Debussy with heartwarming stories from Saint-Exupéry's books ""Wind, Sands, and Stars"" and “Little Prince”.

Directed by Rassami Paoluengthong

ทะเลทราย • ดวงดาว • เจ้าชายน้อย

ละครคอนเสิร์ต

เฉลิมฉลองวาระครบรอบ 100 ปี วันประสูติ สมเด็จพระเจ้าพี่นางเธอ เจ้าฟ้ากัลยาณิวัฒนา กรมหลวงนราธิวาส ราชนครินทร์

โดยสถาบันดนตรีกัลยาณิวัฒนา

“เราจะมองเห็นแจ่มชัด ด้วยหัวใจเท่านั้น สิ่งสำคัญนั้นไม่อาจเห็นได้ด้วยตา”


ข้อความดังกล่าวได้ถูกบันทึกไว้หลังปกหนังสือวรรณกรรมฝรั่งเศสของ อ็องตวน เดอ แซ็ง-เต็กซูเปรี (Antoine de Saint-Exupéry) โดยเป็นเรื่องราวของเด็กชายผู้มาจากดาวดวงอื่น และได้เดินทางมายังโลกมนุษย์ การเดินทางที่นำพาเขาให้ได้พบพานกับเพื่อนและเรื่องราวระหว่างทาง ที่จะนำผู้ชมเดินทางมาสู่การเรียนรู้ในเรื่องความรัก มิตรภาพ ความสัมพันธ์ รวมไปถึงการมองหาความหมายในชีวิต ผ่านมุมมองของเจ้าชายน้อย

เนื่องในวโรกาสการเฉลิมฉลองวาระครบรอบ 100 ปี วันประสูติ สมเด็จพระเจ้าพี่นางเธอ เจ้าฟ้ากัลยาณิวัฒนา กรมหลวงนราธิวาสราชนครินทร์ สถาบันดนตรีกัลยาณิวัฒนา จะนำผู้ชมกลับเข้าสู่การเดินทางของเจ้าชายน้อยอีกครั้งกับประสบการณ์ที่ไม่ได้เพียงเห็นด้วยตา แต่เป็นการรับฟังในมิติของเสียงดนตรี ที่เป็นการผสมผสานระหว่างการแสดงละครและบทเพลงไพเราะของ Claude Debussy นักประพันธ์ชาวฝรั่งเศสผู้เป็นสัญลักษณ์ของยุคอิมเพรสชันนิสม์

กำกับโดย

รัศมี เผ่าเหลืองทอง"
20240100001,Gazillion Bubble Show,,เพอร์ฟอร์แมนซ์ อาร์ต,2024-01-18,2024-01-21,2024.0,,"โชว์ฟองสบู่สุดหรรษา “Gazillion Bubble Show” กำลังจะกลับมาสร้างปรากฏการณ์ครั้งใหม่ให้กับคนไทยในปีหน้า ในวันที่ 18 – 21 มกราคม 2567 ที่เมืองไทย รัชดาลัย เธียเตอร์ เพียง 8 รอบการแสดงเท่านั้น เปิดจำหน่ายบัตรรอบทั่วไป 18 พฤศจิกายนนี้ที่ thaiticketmajor.com
 
ฟาน ยาง (Fan Yang) ศิลปินฟองสบู่เจ้าของรางวัลกินเนสส์ เวิลด์ เรคคอร์ด (Guinness World Record) จากโชว์ฟองสบู่ที่ครอบตัวคนได้ถึง 181 คน เป็นผู้ก่อตั้ง Gazillion Bubble Show ในปี 2550 โดยสร้างสรรค์โชว์ฟองสบู่ผสมผสานความสวยงาม อลังการของแสง สี เอฟเฟกต์ ออกมาในรูปแบบที่ไม่เหมือนใคร จนครองใจผู้ชมทุกเพศ ทุกวัยมานานกว่า 20 ปี โดยปัจจุบันมีศิลปินซึ่งเป็นเหล่าสมาชิกครอบครัวของฟาน ได้แก่ อานา (Ana), เดนี (Deni), เมโลดี (Melody) และ จาโน (Jano) ร่วมแสดงที่นิวยอร์กรวมถึงเวทีต่างๆ ทั่วโลก
 
การกลับมาของ Gazillion Bubble Show ที่กรุงเทพฯ ครั้งนี้ มากกว่าความสนุกสนานจากโชว์สุดยิ่งใหญ่ หนึ่งในความพิเศษของโชว์ฟองสบู่ในครั้งนี้คือเทคโนโลยีการผลิตฟองสบู่ (Atomic Organic Bubble Solution) ที่มีความบางเบา และทำจากผลิตภัณฑ์ออร์แกนิก ซึ่งทำให้ผู้ปกครองมั่นใจได้ว่าจะเป็นมิตรต่อเด็กๆ นอกจากนี้ไฮไลท์ของโชว์ที่แฟนบับเบิ้ลทั่วโลกรอคอยก็คือกิจกรรมแนว Interactive ที่ต้องลุ้นกันว่าผู้ชมคนไหนจะได้เข้าไปอยู่ด้านในฟองสบู่ยักษ์ ซึ่งที่ผ่านมาเป็นกิจกรรมที่เรียกรอยยิ้มและเสียงหัวเราะได้จากทั้งครอบครัว
 
อย่าพลาดโอกาสแห่งความสนุกที่อาจพาคุณไปเป็นส่วนหนึ่งของสถิติโลกครั้งใหม่ Gazillion Bubble Show จะมีขึ้นในวันที่ 18 – 21 มกราคม 2567 ที่เมืองไทยรัชดาลัย เธียเตอร์ บัตรราคาเริ่มต้น 600 บาท เปิดจำหน่ายวันเสาร์ที่ 18 พฤศจิกายน ผ่านทางเว็บไซต์และเคาน์เตอร์ของไทยทิคเก็ตเมเจอร์ รายละเอียดเพิ่มเติมที่ thaiticketmajor.com"
